titulo;diretor;ano;orcamento;faturamento;nota
Thunderbirds ;Jonathan Frakes;2004; 57000000;  6768055;4,2
Burlesque ;Steve Antin;2010; 55000000; 39440655;6,4
A Very Long Engagement ;Jean-Pierre Jeunet;2004; 47000000;  6167817;7,7
Blade II ;Guillermo del Toro;2002; 54000000; 81645152;6,7
Seven Pounds ;Gabriele Muccino;2008; 55000000; 69951824;7,7
Bullet to the Head ;Walter Hill;2012; 55000000;  9483821;5,7
The Godfather: Part III ;Francis Ford Coppola;1990; 54000000; 66676062;7,6
Elizabethtown ;Cameron Crowe;2005; 57000000; 26838389;6,4
You, Me and Dupree ;Anthony Russo;2006; 54000000; 75604320;5,6
Superman II ;Richard Lester;1980; 54000000;108200000;6,8
Gigli ;Martin Brest;2003; 54000000;  5660084;2,4
All the King's Men ;Steven Zaillian;2006; 55000000;  7221458;6,2
Shaft ;John Singleton;2000; 46000000; 70327868;5,9
Anastasia ;Don Bluth;1997; 50000000; 58297830;7,1
Moulin Rouge! ;Baz Luhrmann;2001; 52500000; 57386369;7,6
Domestic Disturbance ;Harold Becker;2001; 53000000; 45207112;5,5
Black Mass ;Scott Cooper;2015; 53000000; 62563543;7,0
Flags of Our Fathers ;Clint Eastwood;2006; 90000000; 33574332;7,1
Law Abiding Citizen ;F. Gary Gray;2009; 50000000; 73343413;7,4
Grindhouse ;Robert Rodriguez;2007; 53000000; 25031037;7,6
Beloved ;Jonathan Demme;1998; 55000000; 22843047;5,9
Lucky You ;Curtis Hanson;2007; 55000000;  5755286;5,9
Catch Me If You Can ;Steven Spielberg;2002; 52000000;164435221;8,0
Zero Dark Thirty ;Kathryn Bigelow;2012; 40000000; 95720716;7,4
The Break-Up ;Peyton Reed;2006; 52000000;118683135;5,8
Mamma Mia! ;Phyllida Lloyd;2008; 52000000;143704210;6,3
Valentine's Day ;Garry Marshall;2010; 52000000;110476776;5,7
The Dukes of Hazzard ;Jay Chandrasekhar;2005; 50000000; 80270227;5,1
The Thin Red Line ;Terrence Malick;1998; 52000000; 36385763;7,6
The Change-Up ;David Dobkin;2011; 52000000; 37035845;6,4
Man on the Moon ;Milos Forman;1999; 52000000; 34580635;7,4
Casino ;Martin Scorsese;1995; 52000000; 42438300;8,2
From Paris with Love ;Pierre Morel;2010; 52000000; 23324666;6,5
Bulletproof Monk ;Paul Hunter;2003; 52000000; 23020488;5,5
Me, Myself & Irene ;Bobby Farrelly;2000; 51000000; 90567722;6,5
Barnyard ;Steve Oedekerk;2006; 51000000; 72601713;5,6
The Twilight Saga: New Moon ;Chris Weitz;2009; 50000000;296623634;4,6
Shrek ;Andrew Adamson;2001; 60000000;267652016;7,9
The Adjustment Bureau ;George Nolfi;2011; 50200000; 62453315;7,1
Robin Hood: Prince of Thieves ;Kevin Reynolds;1991; 48000000;165500000;6,9
Jerry Maguire ;Cameron Crowe;1996; 50000000;153620822;7,3
Ted ;Seth MacFarlane;2012; 50000000;218628680;7,0
As Good as It Gets ;James L. Brooks;1997; 50000000;147637474;7,7
Patch Adams ;Tom Shadyac;1998; 50000000;135014968;6,7
Anchorman 2: The Legend Continues ;Adam McKay;2013; 50000000;  2175312;6,3
Mr. Deeds ;Steven Brill;2002; 50000000;126203320;5,8
Super 8 ;J.J. Abrams;2011; 50000000;126975169;7,1
Erin Brockovich ;Steven Soderbergh;2000; 52000000;125548685;7,3
How to Lose a Guy in 10 Days ;Donald Petrie;2003; 50000000;105807520;6,4
22 Jump Street ;Phil Lord;2014; 50000000;191616238;7,1
Interview with the Vampire: The Vampire Chronicles ;Neil Jordan;1994; 60000000;105264608;7,6
Yes Man ;Peyton Reed;2008; 70000000; 97680195;6,8
Central Intelligence ;Rawson Marshall Thurber;2016; 50000000;126088877;6,6
Stepmom ;Chris Columbus;1998; 50000000; 91030827;6,7
Daddy's Home ;Sean Anders;2015; 50000000;150315155;6,1
Into the Woods ;Rob Marshall;2014; 50000000;127997349;6,0
Inside Man ;Spike Lee;2006; 45000000; 88504640;7,6
Payback ;Brian Helgeland;1999; 50000000; 81517441;7,1
Congo ;Frank Marshall;1995; 50000000; 81022333;5,0
Knowing ;Alex Proyas;2009; 50000000; 79948113;6,2
Failure to Launch ;Tom Dey;2006; 50000000; 88658172;5,6
Crazy, Stupid, Love. ;Glenn Ficarra;2011; 50000000; 84244877;7,4
Garfield ;Peter Hewitt;2004; 35000000; 75367693;5,0
Christmas with the Kranks ;Joe Roth;2004; 60000000; 73701902;5,2
Moneyball ;Bennett Miller;2011; 50000000; 75605492;7,6
Outbreak ;Wolfgang Petersen;1995; 50000000; 67823573;6,6
Non-Stop ;Jaume Collet-Serra;2014; 50000000; 91439400;7,0
Race to Witch Mountain ;Andy Fickman;2009; 65000000; 67128202;5,7
V for Vendetta ;James McTeigue;2005; 54000000; 70496802;8,2
Shanghai Knights ;David Dobkin;2003; 50000000; 60470220;6,2
Curious George ;Matthew O'Callaghan;2006; 50000000; 58336565;6,6
Herbie Fully Loaded ;Angela Robinson;2005; 50000000; 66002004;4,7
Don't Say a Word ;Gary Fleder;2001; 50000000; 54997476;6,3
Hansel & Gretel: Witch Hunters ;Tommy Wirkola;2013; 50000000; 55682070;6,1
Unfaithful ;Adrian Lyne;2002; 50000000; 52752475;6,7
I Am Number Four ;D.J. Caruso;2011; 60000000; 55092830;6,1
Syriana ;Stephen Gaghan;2005; 50000000; 50815288;7,0
13 Hours ;Michael Bay;2016; 50000000; 52822418;7,4
The Book of Life ;Jorge R. Gutiérrez;2014; 50000000; 50150619;7,3
Firewall ;Richard Loncraine;2006; 50000000; 48745150;5,8
Absolute Power ;Clint Eastwood;1997; 50000000; 50007168;6,7
G.I. Jane ;Ridley Scott;1997; 50000000; 48154732;5,8
The Game ;David Fincher;1997; 50000000; 48265581;7,8
Silent Hill ;Christophe Gans;2006; 50000000; 46982632;6,6
The Replacements ;Howard Deutch;2000; 50000000; 44737059;6,5
American Reunion ;Jon Hurwitz;2012; 50000000; 56724080;6,7
The Negotiator ;F. Gary Gray;1998; 50000000; 44484065;7,3
Into the Storm ;Steven Quale;2014; 50000000; 47553512;5,8
Beverly Hills Cop III ;John Landis;1994; 55000000; 42610000;5,5
Gremlins 2: The New Batch ;Joe Dante;1990; 50000000; 41482207;6,3
The Judge ;David Dobkin;2014; 50000000; 47105085;7,4
The Peacemaker ;Mimi Leder;1997; 50000000; 41256277;5,9
Resident Evil: Apocalypse ;Alexander Witt;2004; 45000000; 50740078;6,2
Bridget Jones: The Edge of Reason ;Beeban Kidron;2004; 40000000; 40203020;5,9
Out of Time ;Carl Franklin;2003; 50000000; 40905277;6,5
On Deadly Ground ;Steven Seagal;1994; 50000000; 38590500;4,4
The Adventures of Sharkboy and Lavagirl 3-D ;Robert Rodriguez;2005; 50000000; 39177541;3,5
The Beach ;Danny Boyle;2000; 50000000; 39778599;6,6
Raising Helen ;Garry Marshall;2004; 50000000; 37486138;6,0
Ninja Assassin ;James McTeigue;2009; 40000000; 38105077;6,4
For Love of the Game ;Sam Raimi;1999; 50000000; 35168395;6,5
Striptease ;Andrew Bergman;1996; 40000000; 32800000;4,3
Marmaduke ;Tom Dey;2010; 50000000; 33643461;4,2
Hereafter ;Clint Eastwood;2010; 50000000; 32741596;6,5
Murder by Numbers ;Barbet Schroeder;2002; 50000000; 31874869;6,1
Assassins ;Richard Donner;1995; 50000000; 30306268;6,3
Hannibal Rising ;Peter Webber;2007; 50000000; 27667947;6,2
The Story of Us ;Rob Reiner;1999; 50000000; 27067160;5,9
The Host ;Andrew Niccol;2013; 40000000; 26616999;5,9
Basic ;John McTiernan;2003; 50000000; 26536120;6,5
Blood Work ;Clint Eastwood;2002; 50000000; 26199517;6,4
The International ;Tom Tykwer;2009; 50000000; 25450527;6,5
Escape from L.A. ;John Carpenter;1996; 50000000; 25407250;5,7
The Iron Giant ;Brad Bird;1999; 70000000; 23159305;8,0
The Life Aquatic with Steve Zissou ;Wes Anderson;2004; 50000000; 24006726;7,3
Free State of Jones ;Gary Ross;2016; 50000000; 20389967;6,7
The Life of David Gale ;Alan Parker;2003; 50000000; 19593740;7,5
Man of the House ;Stephen Herek;2005; 40000000; 19118247;5,4
Run All Night ;Jaume Collet-Serra;2015; 50000000; 26442251;6,6
Eastern Promises ;David Cronenberg;2007; 25000000; 17114882;7,7
Into the Blue ;John Stockwell;2005; 50000000; 18472363;5,8
The Messenger: The Story of Joan of Arc ;Luc Besson;1999;390000000; 14131298;6,4
Your Highness ;David Gordon Green;2011; 49900000; 21557240;5,6
Dream House ;Jim Sheridan;2011; 55000000; 21283440;6,0
Mad City ;Costa-Gavras;1997; 50000000; 10556196;6,2
Baby's Day Out ;Patrick Read Johnson;1994; 50000000; 16671505;5,9
The Scarlet Letter ;Roland Joffé;1995; 50000000; 10400000;5,1
Fair Game ;Doug Liman;2010; 22000000;  9528092;6,8
Domino ;Tony Scott;2005; 50000000; 10137232;6,0
Jade ;William Friedkin;1995; 50000000;  9795017;5,1
Gamer ;Mark Neveldine;2009; 50000000; 20488579;5,8
Beautiful Creatures ;Richard LaGravenese;2013; 60000000; 19445217;6,2
Death to Smoochy ;Danny DeVito;2002; 55000000;  8355815;6,4
Zoolander 2 ;Ben Stiller;2016; 50000000; 28837115;4,8
The Big Bounce ;George Armitage;2004; 50000000;  6471394;4,9
What Planet Are You From? ;Mike Nichols;2000; 50000000;  6291602;5,6
Drive Angry ;Patrick Lussier;2011; 50000000; 10706786;5,5
Street Fighter: The Legend of Chun-Li ;Andrzej Bartkowiak;2009; 18000000;  8742261;3,7
The One ;James Wong;2001; 49000000; 43905746;5,9
The Adventures of Ford Fairlane ;Renny Harlin;1990; 40000000; 21413502;6,3
Traffic ;Steven Soderbergh;2000; 48000000;124107476;7,6
Indiana Jones and the Last Crusade ;Steven Spielberg;1989; 48000000;197171806;8,3
Chappie ;Neill Blomkamp;2015; 49000000; 31569268;6,9
The Bone Collector ;Phillip Noyce;1999; 48000000; 66488090;6,7
Panic Room ;David Fincher;2002; 48000000; 95308367;6,8
Three Kings ;David O. Russell;1999; 48000000; 60652036;7,1
Child 44 ;Daniel Espinosa;2015; 50000000;  1206135;6,4
Rat Race ;Jerry Zucker;2001; 48000000; 56607223;6,4
K-PAX ;Iain Softley;2001; 48000000; 50173190;7,4
Kate & Leopold ;James Mangold;2001; 48000000; 47095453;6,4
Bedazzled ;Harold Ramis;2000; 48000000; 37879996;6,0
The Cotton Club ;Francis Ford Coppola;1984; 58000000; 25900000;6,5
3:10 to Yuma ;James Mangold;2007; 55000000; 53574088;7,8
Taken 3 ;Olivier Megaton;2014; 48000000; 89253340;6,0
Out of Sight ;Steven Soderbergh;1998; 48000000; 37339525;7,0
The Cable Guy ;Ben Stiller;1996; 47000000; 60154431;6,0
Dick Tracy ;Warren Beatty;1990;100000000;103738726;6,1
The Thomas Crown Affair ;John McTiernan;1999; 48000000; 69304264;6,8
Riding in Cars with Boys ;Penny Marshall;2001; 48000000; 29781453;6,4
Happily N'Ever After ;Paul Bolger;2006; 47000000; 15519841;4,5
Mary Reilly ;Stephen Frears;1996; 47000000;  5600000;5,8
My Best Friend's Wedding ;P.J. Hogan;1997; 46000000;126805112;6,3
America's Sweethearts ;Joe Roth;2001; 48000000; 93607673;5,7
Insomnia ;Christopher Nolan;2002; 46000000; 67263182;7,2
Star Trek: First Contact ;Jonathan Frakes;1996; 45000000; 92001027;7,6
Jonah Hex ;Jimmy Hayward;2010; 47000000; 10539414;4,7
Courage Under Fire ;Edward Zwick;1996; 46000000; 58918501;6,6
Liar Liar ;Tom Shadyac;1997; 45000000;181395380;6,8
The Infiltrator ;Brad Furman;2016; 25000000; 14946229;7,3
The Flintstones ;Brian Levant;1994; 45000000;130512915;4,8
Taken 2 ;Olivier Megaton;2012; 45000000;139852971;6,3
Scary Movie 3 ;David Zucker;2003; 48000000;110000082;5,5
Miss Congeniality ;Donald Petrie;2000; 45000000;106807667;6,2
Journey to the Center of the Earth ;Eric Brevig;2008; 45000000;101702060;5,8
The Princess Diaries 2: Royal Engagement ;Garry Marshall;2004; 40000000; 95149435;5,7
The Pelican Brief ;Alan J. Pakula;1993; 45000000;100768056;6,5
The Client ;Joel Schumacher;1994; 45000000; 92115211;6,7
The Bucket List ;Rob Reiner;2007; 45000000; 93452056;7,4
Patriot Games ;Phillip Noyce;1992; 45000000; 83287363;6,9
Monster-in-Law ;Robert Luketic;2005; 60000000; 82931301;5,5
Prisoners ;Denis Villeneuve;2013; 46000000; 60962878;8,1
Training Day ;Antoine Fuqua;2001; 45000000; 76261036;7,7
Galaxy Quest ;Dean Parisot;1999; 45000000; 71423726;7,3
Scary Movie 2 ;Keenen Ivory Wayans;2001; 45000000; 71277420;5,2
The Muppets ;James Bobin;2011; 45000000; 88625922;7,1
Blade ;Stephen Norrington;1998; 45000000; 70001065;7,1
Coach Carter ;Thomas Carter;2005; 30000000; 67253092;7,2
Changing Lanes ;Roger Michell;2002; 45000000; 66790248;6,5
Anaconda ;Luis Llosa;1997; 45000000; 65557989;4,6
Coyote Ugly ;David McNally;2000; 45000000; 60786269;5,6
Love Actually ;Richard Curtis;2003; 45000000; 59365105;7,7
A Bug's Life ;John Lasseter;1998;120000000;162792677;7,2
From Hell ;Albert Hughes;2001; 35000000; 31598308;6,8
The Specialist ;Luis Llosa;1994; 45000000; 57362581;5,4
Tin Cup ;Ron Shelton;1996; 45000000; 53854588;6,3
Kicking & Screaming ;Jesse Dylan;2005; 45000000; 52580895;5,6
The Hitchhiker's Guide to the Galaxy ;Garth Jennings;2005; 50000000; 51019112;6,8
Fat Albert ;Joel Zwick;2004; 26000000; 48114556;4,3
Resident Evil: Extinction ;Russell Mulcahy;2007; 45000000; 50648679;6,3
Blended ;Frank Coraci;2014; 40000000; 46280507;6,5
Last Holiday ;Wayne Wang;2006; 45000000; 38360195;6,4
The River Wild ;Curtis Hanson;1994; 45000000; 46815748;6,3
The Indian in the Cupboard ;Frank Oz;1995; 45000000; 35617599;5,9
Savages ;Oliver Stone;2012; 45000000; 47307550;6,5
Cellular ;David R. Ellis;2004; 25000000; 32003620;6,5
Johnny English ;Peter Howitt;2003; 35000000; 27972410;6,1
The Ant Bully ;John A. Davis;2006; 50000000; 28133159;5,9
Dune ;David Lynch;1984; 40000000; 27400000;6,6
Across the Universe ;Julie Taymor;2007; 45000000; 24343673;7,4
Revolutionary Road ;Sam Mendes;2008; 35000000; 22877808;7,3
16 Blocks ;Richard Donner;2006; 52000000; 36883539;6,6
Babylon A.D. ;Mathieu Kassovitz;2008; 70000000; 22531698;5,6
The Glimmer Man ;John Gray;1996; 45000000; 20400913;5,3
Multiplicity ;Harold Ramis;1996; 45000000; 20101861;6,0
Aliens in the Attic ;John Schultz;2009; 45000000; 25200412;5,4
The Pledge ;Sean Penn;2001; 45000000; 19719930;6,8
The Producers ;Susan Stroman;2005; 45000000; 19377727;6,4
Dredd ;Pete Travis;2012; 35000000; 13401683;7,1
The Phantom ;Simon Wincer;1996; 45000000; 17300889;4,9
All the Pretty Horses ;Billy Bob Thornton;2000; 57000000; 15527125;5,8
Nixon ;Oliver Stone;1995; 50000000; 13560960;7,1
The Ghost Writer ;Roman Polanski;2010; 45000000; 15523168;7,2
Deep Rising ;Stephen Sommers;1998; 45000000; 11146409;6,0
Miracle at St. Anna ;Spike Lee;2008; 45000000;  7916887;6,0
Curse of the Golden Flower ;Yimou Zhang;2006; 45000000;  6565495;7,0
Bangkok Dangerous ;Danny Pang;2008; 40000000; 15279680;5,4
Big Trouble ;Barry Sonnenfeld;2002; 40000000;  7262288;6,5
Love in the Time of Cholera ;Mike Newell;2007; 45000000;  4584886;6,4
Shadow Conspiracy ;George P. Cosmatos;1997; 45000000;  2154540;4,9
Johnny English Reborn ;Oliver Parker;2011; 45000000;  8129455;6,3
Argo ;Ben Affleck;2012; 44500000;136019448;7,7
The Fugitive ;Andrew Davis;1993; 44000000;183875760;7,8
The Bounty Hunter ;Andy Tennant;2010; 40000000; 67061228;5,5
Sleepers ;Barry Levinson;1996; 44000000; 53300852;7,5
Rambo: First Blood Part II ;George P. Cosmatos;1985; 44000000;150415432;6,4
The Juror ;Brian Gibson;1996; 44000000; 44834712;5,6
Pinocchio ;Norman Ferguson;1940;  2600000; 84300000;7,5
Heaven's Gate ;Michael Cimino;1980; 44000000;  1500000;6,8
Underworld: Evolution ;Len Wiseman;2006; 50000000; 62318875;6,8
Victor Frankenstein ;Paul McGuigan;2015; 40000000;  5773519;6,0
Finding Forrester ;Gus Van Sant;2000; 43000000; 51768623;7,3
28 Days ;Betty Thomas;2000; 43000000; 37035515;6,0
Unleashed ;Louis Leterrier;2005; 45000000; 24520892;7,0
The Sweetest Thing ;Roger Kumble;2002; 43000000; 24430272;5,1
The Firm ;Sydney Pollack;1993; 42000000;158348400;6,8
Charlie St. Cloud ;Burr Steers;2010; 44000000; 31136950;6,5
The Mechanic ;Simon West;2011; 40000000; 29113588;6,6
21 Jump Street ;Phil Lord;2012; 42000000;138447667;7,2
Notting Hill ;Roger Michell;1999; 42000000;116006080;7,0
Chicken Run ;Peter Lord;2000; 45000000;106793915;7,0
Along Came Polly ;John Hamburg;2004; 42000000; 87856565;5,9
Boomerang ;Reginald Hudlin;1992; 40000000; 70100000;5,4
The Heat ;Paul Feig;2013; 43000000;159578352;6,6
Cleopatra ;Joseph L. Mankiewicz;1963; 31115000; 57750000;7,0
Here Comes the Boom ;Frank Coraci;2012; 42000000; 45290318;6,5
High Crimes ;Carl Franklin;2002; 42000000; 41543207;6,3
The Mirror Has Two Faces ;Barbra Streisand;1996; 42000000; 41252428;6,5
The Mothman Prophecies ;Mark Pellington;2002; 32000000; 35228696;6,5
Brüno ;Larry Charles;2009; 42000000; 59992760;5,8
Licence to Kill ;John Glen;1989; 32000000; 34667015;6,6
Red Riding Hood ;Catherine Hardwicke;2011; 42000000; 37652565;5,4
15 Minutes ;John Herzfeld;2001; 42000000; 24375436;6,1
Super Mario Bros. ;Annabel Jankel;1993; 42000000; 20915465;4,0
Lord of War ;Andrew Niccol;2005; 50000000; 24127895;7,6
Hero ;Yimou Zhang;2002; 31000000;    84961;7,9
One for the Money ;Julie Anne Robinson;2012; 40000000; 26404753;5,3
The Interview ;Evan Goldberg;2014; 44000000;  6105175;6,6
The Warrior's Way ;Sngmoo Lee;2010; 45000000;  5664251;6,3
Micmacs ;Jean-Pierre Jeunet;2009; 27000000;  1260917;7,2
8 Mile ;Curtis Hanson;2002; 41000000;116724075;7,0
A Knight's Tale ;Brian Helgeland;2001; 65000000; 56083966;6,9
The Medallion ;Gordon Chan;2003; 41000000; 22108977;5,2
The Sixth Sense ;M. Night Shyamalan;1999; 40000000;293501675;8,1
Man on a Ledge ;Asger Leth;2012; 42000000; 18600911;6,6
The Big Year ;David Frankel;2011; 41000000;  7204138;6,2
The Karate Kid ;John G. Avildsen;1984;  8000000; 90800000;7,2
American Hustle ;David O. Russell;2013; 40000000;150117807;7,3
The Proposal ;Anne Fletcher;2009; 40000000;163947053;6,7
Double Jeopardy ;Bruce Beresford;1999; 70000000;116735231;6,4
Back to the Future Part II ;Robert Zemeckis;1989; 40000000;118500000;7,8
Lucy ;Luc Besson;2014; 40000000;126546825;6,4
Fifty Shades of Grey ;Sam Taylor-Johnson;2015; 40000000;166147885;4,1
Spy Kids 3-D: Game Over ;Robert Rodriguez;2003; 38000000;111760631;4,1
A Time to Kill ;Joel Schumacher;1996; 40000000;108706165;7,4
Cheaper by the Dozen ;Shawn Levy;2003; 40000000;138614544;5,8
Lone Survivor ;Peter Berg;2013; 40000000;125069696;7,6
A League of Their Own ;Penny Marshall;1992; 40000000;107458785;7,2
The Conjuring 2 ;James Wan;2016; 40000000;102310175;7,8
The Social Network ;David Fincher;2010; 40000000; 96917897;7,7
He's Just Not That Into You ;Ken Kwapis;2009; 40000000; 93952276;6,4
Scary Movie 4 ;David Zucker;2006; 45000000; 90703745;5,1
Scream 3 ;Wes Craven;2000; 40000000; 89138076;5,5
Back to the Future Part III ;Robert Zemeckis;1990; 40000000; 87666629;7,4
Get Hard ;Etan Cohen;2015; 40000000; 90353764;6,0
Bram Stoker's Dracula ;Francis Ford Coppola;1992; 40000000; 82522790;7,5
Julie & Julia ;Nora Ephron;2009; 40000000; 94125426;7,0
42 ;Brian Helgeland;2013; 40000000; 95001343;7,5
The Talented Mr. Ripley ;Anthony Minghella;1999; 40000000; 81292135;7,3
Dumb and Dumber To ;Bobby Farrelly;2014; 35000000; 86208010;5,7
Eight Below ;Frank Marshall;2006; 40000000; 81593527;7,3
The Intern ;Nancy Meyers;2015; 35000000; 75274748;7,2
Ride Along 2 ;Tim Story;2016; 40000000; 90835030;5,9
The Last of the Mohicans ;Michael Mann;1992; 40000000; 72455275;7,8
Ray ;Taylor Hackford;2004; 40000000; 75305995;7,7
Sin City ;Frank Miller;2005; 40000000; 74098862;8,1
Vantage Point ;Pete Travis;2008; 40000000; 72266306;6,6
I Love You, Man ;John Hamburg;2009; 40000000; 71347010;7,1
Shallow Hal ;Bobby Farrelly;2001; 40000000; 70836296;5,9
JFK ;Oliver Stone;1991; 40000000; 70405498;8,0
Big Momma's House 2 ;John Whitesell;2006; 40000000; 70163652;4,6
The Mexican ;Gore Verbinski;2001; 34000000; 66808615;6,1
Unbroken ;Angelina Jolie Pitt;2014; 65000000;115603980;7,2
17 Again ;Burr Steers;2009; 20000000; 64149837;6,4
The Other Woman ;Nick Cassavetes;2014; 40000000; 83906114;6,0
The Final Destination ;David R. Ellis;2009; 40000000; 66466372;5,2
Bridge of Spies ;Steven Spielberg;2015; 40000000; 72306065;7,6
Behind Enemy Lines ;John Moore;2001; 40000000; 59068786;6,4
Shall We Dance ;Peter Chelsom;2004; 50000000; 57887882;6,1
Small Soldiers ;Joe Dante;1998; 40000000; 53955614;6,1
Spawn ;Mark A.Z. Dippé;1997; 40000000; 54967359;5,2
The Count of Monte Cristo ;Kevin Reynolds;2002; 35000000; 54228104;7,7
The Lincoln Lawyer ;Brad Furman;2011; 40000000; 57981889;7,3
Unknown ;Jaume Collet-Serra;2011; 30000000; 61094903;6,9
The Prestige ;Christopher Nolan;2006; 40000000; 53082743;8,5
Horrible Bosses 2 ;Sean Anders;2014; 42000000; 54414716;6,3
Escape from Planet Earth ;Cal Brunker;2013; 40000000; 57011847;5,9
Apocalypto ;Mel Gibson;2006; 40000000; 50859889;7,8
The Living Daylights ;John Glen;1987; 30000000; 51185897;6,7
Predators ;Nimród Antal;2010; 40000000; 52000688;6,4
Legal Eagles ;Ivan Reitman;1986; 40000000; 49851591;5,9
Secret Window ;David Koepp;2004; 40000000; 47781388;6,6
The Lake House ;Alejandro Agresti;2006; 40000000; 52320979;6,8
The Skeleton Key ;Iain Softley;2005; 43000000; 47806295;6,5
The Odd Life of Timothy Green ;Peter Hedges;2012; 25000000; 51853450;6,6
Made of Honor ;Paul Weiland;2008; 40000000; 46012734;5,8
Jersey Boys ;Clint Eastwood;2014; 40000000; 47034272;6,9
The Rainmaker ;Francis Ford Coppola;1997; 40000000; 45856732;7,1
Gothika ;Mathieu Kassovitz;2003; 40000000; 59588068;5,8
Amistad ;Steven Spielberg;1997; 36000000; 44175394;7,2
Medicine Man ;John McTiernan;1992; 40000000; 45500797;6,0
Aliens vs. Predator: Requiem ;Colin Strause;2007; 40000000; 41797066;4,7
Ri¢hie Ri¢h ;Donald Petrie;1994; 40000000; 38087756;5,2
Autumn in New York ;Joan Chen;2000; 40000000; 37752931;5,5
Paul ;Greg Mottola;2011; 40000000; 37371385;7,0
The Guilt Trip ;Anne Fletcher;2012; 40000000; 37101011;5,8
Scream 4 ;Wes Craven;2011; 40000000; 38176892;6,2
8MM ;Joel Schumacher;1999; 40000000; 36283504;6,5
The Doors ;Oliver Stone;1991; 38000000; 35183792;7,2
Sex Tape ;Jake Kasdan;2014; 40000000; 38543473;5,1
Hanging Up ;Diane Keaton;2000; 60000000; 36037909;4,7
Final Destination 5 ;Steven Quale;2011; 40000000; 42575718;5,9
Mickey Blue Eyes ;Kelly Makin;1999; 40000000; 33864342;5,8
Pay It Forward ;Mimi Leder;2000; 40000000; 33508922;7,2
Fever Pitch ;Bobby Farrelly;2005; 30000000; 42071069;6,2
Drillbit Taylor ;Steven Brill;2008; 40000000; 32853640;5,7
A Million Ways to Die in the West ;Seth MacFarlane;2014; 40000000; 42615685;6,1
The Shadow ;Russell Mulcahy;1994; 25000000; 32055248;6,0
Extremely Loud & Incredibly Close ;Stephen Daldry;2011; 40000000; 31836745;6,9
Morning Glory ;Roger Michell;2010; 40000000; 30993544;6,5
Get Rich or Die Tryin' ;Jim Sheridan;2005; 40000000; 30981850;5,0
The Art of War ;Christian Duguay;2000; 40000000; 30199105;5,7
Rent ;Chris Columbus;2005; 40000000; 29077547;7,0
Bless the Child ;Chuck Russell;2000; 40000000; 29374178;5,1
The Out-of-Towners ;Sam Weisman;1999; 40000000; 28535768;5,3
The Island of Dr. Moreau ;John Frankenheimer;1996; 40000000; 27663982;4,4
The Musketeer ;Peter Hyams;2001; 40000000; 27053815;4,7
The Other Boleyn Girl ;Justin Chadwick;2008; 35000000; 26814957;6,7
Sweet November ;Pat O'Connor;2001; 40000000; 25178165;6,7
The Reaping ;Stephen Hopkins;2007; 40000000; 25117498;5,7
Mean Streets ;Martin Scorsese;1973;   500000;    32645;7,4
Renaissance Man ;Penny Marshall;1994; 40000000; 24332324;6,1
Colombiana ;Olivier Megaton;2011; 40000000; 36665854;6,4
The Magic Sword: Quest for Camelot ;Frederik Du Chau;1998; 40000000; 22717758;6,2
City by the Sea ;Michael Caton-Jones;2002; 60000000; 22433915;6,2
At First Sight ;Irwin Winkler;1999; 60000000; 22326247;5,9
Torque ;Joseph Kahn;2004; 40000000; 21176322;4,0
City Hall ;Harold Becker;1996; 40000000; 20300000;6,2
Showgirls ;Paul Verhoeven;1995; 45000000; 20302961;4,6
Marie Antoinette ;Sofia Coppola;2006; 40000000; 15962471;6,4
Kiss of Death ;Barbet Schroeder;1995; 40000000; 14942422;5,9
Get Carter ;Stephen Kay;2000; 40000000; 14967182;5,1
The Impossible ;J.A. Bayona;2012; 45000000; 18996755;7,6
Ishtar ;Elaine May;1987; 51000000; 14375181;4,2
Fantastic Mr. Fox ;Wes Anderson;2009; 40000000; 20999103;7,8
Life or Something Like It ;Stephen Herek;2002; 40000000; 14448589;5,8
Memoirs of an Invisible Man ;John Carpenter;1992; 40000000; 14358033;5,9
Amélie ;Jean-Pierre Jeunet;2001; 77000000; 33201661;8,4
New York Minute ;Dennie Gordon;2004; 30000000; 14018364;4,8
Alfie ;Charles Shyer;2004; 60000000; 13395939;6,2
Big Miracle ;Ken Kwapis;2012; 40000000; 20113965;6,5
The Deep End of the Ocean ;Ulu Grosbard;1999; 40000000; 13376506;6,3
Feardotcom ;William Malone;2002; 42000000; 13208023;3,3
Cirque du Freak: The Vampire's Assistant ;Paul Weitz;2009; 40000000; 13838130;5,9
Victor Frankenstein ;Paul McGuigan;2015; 40000000;  5773519;6,0
Duplex ;Danny DeVito;2003; 40000000;  9652000;5,8
Raise the Titanic ;Jerry Jameson;1980; 36000000;  7000000;4,7
Universal Soldier: The Return ;Mic Rodgers;1999; 24000000; 10431220;4,1
Pandorum ;Christian Alvart;2009; 33000000; 10326062;6,8
Impostor ;Gary Fleder;2001; 40000000;  6114237;6,2
Extreme Ops ;Christian Duguay;2002; 40000000;  4835968;4,5
Just Visiting ;Jean-Marie Poiré;2001; 40000000;  4777007;5,8
Sunshine ;Danny Boyle;2007; 26000000;  3675072;7,3
A Thousand Words ;Brian Robbins;2012; 40000000; 18438149;5,9
Delgo ;Marc F. Adler;2008; 40000000;   511920;4,4
The Gunman ;Pierre Morel;2015; 40000000; 10640645;5,8
